Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
17108;22860;21.4;17.3;8.8;16.7;26.4;0;0;0;1;0;0;0;0;0
17109;24480;17.6;19;11.7;21.4;21.8;0;0;1;1;0;0;0;0;0
17110;19190;23.5;14.1;12.6;15.3;20.4;0;1;1;1;0;0;0;0;0
17111;20070;25.7;16.5;14.5;14.9;18.2;0;0;0;1;0;0;0;0;0
17112;22070;18.5;20;14;22.6;19.8;0;0;0;1;0;0;0;0;0
17113;19510;23.2;17.3;11.7;18.3;20;0;0;0;1;0;0;0;0;0
17114;19770;29.1;13.7;13;15.2;18;0;0;0;0;0;0;0;0;0
17115;20930;16.3;16.6;12.4;20.8;23.2;0;0;0;1;0;0;0;0;0
17116;18930;30.3;13.1;9.1;16.9;18.6;0;1;0;0;0;0;0;0;0
17117;18270;25.3;15.9;13.1;13.7;21;0;0;0;0;0;0;0;0;0
17118;21180;25.9;11.7;13.3;17.5;24.1;0;1;0;0;0;0;0;0;0
17119;21040;19.9;16.7;14.7;18.7;21;0;0;1;1;0;0;0;0;0
17120;22280;24;17.6;10.7;18;18.8;0;1;1;2;0;0;2;2;1
17121;27310;30.4;9.4;9.5;10.4;18;2;1;2;1;0;0;5;0;1
17122;24720;17.4;16.2;14;19.2;24.2;0;0;0;1;0;0;0;0;0
17124;19310;15.1;24.1;13.6;20.7;19.3;0;0;0;0;0;0;0;0;0
17125;22600;30.4;9.3;12.1;11.2;25.3;0;0;1;0;0;0;0;0;0
17126;20010;22.6;16.7;16.7;16.5;17.2;0;0;0;1;0;0;0;0;0
17127;21170;15.2;22.2;15;22.7;18.2;0;1;2;2;1;0;4;0;1
17128;22890;26.1;17.1;9.1;18.1;21.8;0;0;0;1;0;0;0;0;0
17129;21620;20.7;16.8;13.3;19.5;19.9;0;0;0;1;0;0;0;0;0
17130;19290;24.3;16.2;12.1;16.4;20.7;0;0;0;1;0;0;0;0;0
17131;20760;26.8;12.7;9.8;14;17.9;2;1;4;3;2;0;1;1;2
17132;21520;14.2;21.4;13.4;20.5;21.7;0;0;1;1;0;0;0;0;0
17133;20700;21.8;15;10.1;19;18.1;0;0;1;1;0;1;0;1;0
17134;20970;24.2;14.3;9.5;14.9;23.4;0;0;0;1;0;0;0;0;0
17135;18710;32.5;9.4;7.2;9;22.1;0;0;0;0;0;0;0;0;0
17136;23020;16.1;17;16.8;18.9;23.4;0;0;2;1;0;0;0;0;0
17137;19910;27.7;17.2;6.3;18.9;17.5;0;0;0;0;0;0;0;0;0
17138;19860;34.6;6.8;9.2;16;21.6;0;2;1;0;0;0;0;0;0
17139;20960;24.1;15.3;12.3;16.3;23;0;0;0;0;0;0;0;0;0
17140;22130;28.2;11.2;11.4;12.8;21.3;1;2;8;2;0;0;2;0;1
17141;21780;23.1;17.4;11.6;18.2;19.7;0;0;1;0;0;0;0;0;0
17142;25230;21.3;15.2;12.5;15.3;23.8;1;0;3;4;1;0;6;4;1
17143;22640;24.1;13.7;12.6;16.1;22.7;0;0;0;1;0;0;0;0;0
17145;23290;19;18.9;11.2;18.8;20.2;0;0;0;1;0;0;0;0;0
17146;22760;23.3;15.8;10.7;16.8;21.3;1;0;3;1;0;0;2;1;1
17147;21170;18.9;21.4;14.5;21.9;18.5;0;0;0;1;0;0;0;0;0
17148;23280;25.5;14.7;12.8;15.4;25.5;0;0;0;1;0;0;0;0;0
17149;N/A - r�sultat non disponible;13.4;10.3;13.6;10.2;32.2;0;0;0;0;0;0;0;0;0
17150;19740;23.9;18.1;12.8;17.1;19.3;0;1;0;1;0;0;0;0;0
17151;20670;24.8;13.7;12.5;14.1;23.5;0;1;0;1;0;0;0;0;0
17152;19800;21.3;12.7;12.8;15.1;21.2;0;0;1;1;0;0;0;0;0
17153;23280;25;15.8;12.3;17.4;20.1;0;1;1;2;0;0;1;1;1
17154;21650;17.8;20.8;10.7;24;18.1;0;0;2;1;0;0;0;0;0
17155;21720;28.5;13.5;12.4;14;17.7;0;1;3;2;0;0;3;0;1
17156;18920;17.8;16.1;14.3;17.9;22.3;0;0;0;0;0;0;0;0;0
